,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
92,46,Notre Dame Fighting Irish,1,55,10,7,1,3,29,8,21,61,22,8,29,8,3,8,
93,47,Pittsburgh Panthers,0,51,8,17,4,4,33,7,26,54,19,6,21,13,7,19,Louisville Cardinals
94,47,Louisville Cardinals,1,66,14,12,8,4,37,7,30,56,22,8,23,16,14,15,
95,48,Clemson Tigers,0,67,5,15,8,4,33,10,23,51,25,0,7,26,17,16,North Carolina State Wolfpack
96,48,North Carolina State Wolfpack,1,69,11,15,3,0,26,7,19,54,24,9,24,13,12,21,
97,49,Wake Forest Demon Deacons,1,61,12,16,2,3,38,9,29,56,25,5,23,6,6,10,Boston College Eagles
98,49,Boston College Eagles,0,65,17,6,6,2,28,9,19,65,27,7,23,10,4,13,
99,50,Virginia Tech Hokies,1,78,23,12,4,2,29,7,22,48,25,14,30,20,14,15,Virginia Tech Hokies
100,50,Syracuse Orange,0,56,7,14,8,2,23,8,15,55,20,9,28,14,7,17,
101,51,Miami (FL) Hurricanes,1,66,11,9,5,3,23,5,18,55,23,7,29,18,13,17,Florida State Seminoles
102,51,Florida State Seminoles,0,78,20,14,5,4,32,5,27,50,28,12,20,14,10,17,
103,52,Notre Dame Fighting Irish,1,61,9,9,7,3,32,14,18,66,23,8,24,9,7,14,Duke Blue Devils
104,52,Duke Blue Devils,0,83,13,8,8,6,39,13,26,59,32,10,19,16,9,15,
105,53,Virginia Cavaliers,0,66,15,15,2,6,36,10,26,52,24,4,10,19,14,22,Virginia Cavaliers
106,53,North Carolina State Wolfpack,1,65,10,8,8,4,24,10,14,64,22,7,26,21,14,16,
107,54,Georgia Tech Yellow Jackets,1,54,15,15,8,7,32,6,26,60,21,2,16,13,10,12,North Carolina Tar Heels
108,54,North Carolina Tar Heels,0,77,21,15,10,2,37,5,32,61,29,13,27,11,6,13,
109,55,Clemson Tigers,1,82,17,14,4,7,29,5,24,47,26,14,27,21,16,19,Clemson Tigers
110,55,Pittsburgh Panthers,0,69,2,12,7,1,23,8,15,53,24,8,22,21,13,21,
111,56,Virginia Tech Hokies,0,82,13,15,11,3,26,2,24,51,30,9,19,15,13,14,Virginia Tech Hokies
112,56,Miami (FL) Hurricanes,1,70,14,16,11,1,22,4,18,56,23,12,33,14,12,12,
